RS	item	label	wd
8126	http://world.squirrel.link/ontology#district_08126	Hohenlohekreis	http://www.wikidata.org/entity/Q8518
8127	http://world.squirrel.link/ontology#district_08127	Schwäbisch Hall	http://www.wikidata.org/entity/Q8520
8128	http://world.squirrel.link/ontology#district_08128	Main-Tauber-Kreis	http://www.wikidata.org/entity/Q8517
8135	http://world.squirrel.link/ontology#district_08135	Heidenheim	http://www.wikidata.org/entity/Q8523
8136	http://world.squirrel.link/ontology#district_08136	Ostalbkreis	http://www.wikidata.org/entity/Q8522
8211	http://world.squirrel.link/ontology#district_08211	Baden-Baden	http://www.wikidata.org/entity/Q4100
8212	http://world.squirrel.link/ontology#district_08212	Karlsruhe	http://www.wikidata.org/entity/Q1040
8215	http://world.squirrel.link/ontology#district_08215	Karlsruhe	http://www.wikidata.org/entity/Q8178
8216	http://world.squirrel.link/ontology#district_08216	Rastatt	http://www.wikidata.org/entity/Q8182
8221	http://world.squirrel.link/ontology#district_08221	Heidelberg	http://www.wikidata.org/entity/Q2966
8222	http://world.squirrel.link/ontology#district_08222	Mannheim	http://www.wikidata.org/entity/Q2119
8225	http://world.squirrel.link/ontology#district_08225	Neckar-Odenwald-Kreis	http://www.wikidata.org/entity/Q8174
8226	http://world.squirrel.link/ontology#district_08226	Rhein-Neckar-Kreis	http://www.wikidata.org/entity/Q8177
8231	http://world.squirrel.link/ontology#district_08231	Pforzheim	http://www.wikidata.org/entity/Q3046
8235	http://world.squirrel.link/ontology#district_08235	Calw	http://www.wikidata.org/entity/Q8186
8236	http://world.squirrel.link/ontology#district_08236	Enzkreis	http://www.wikidata.org/entity/Q8184
8237	http://world.squirrel.link/ontology#district_08237	Freudenstadt	http://www.wikidata.org/entity/Q8189
8311	http://world.squirrel.link/ontology#district_08311	Freiburg im Breisgau	http://www.wikidata.org/entity/Q2833
8315	http://world.squirrel.link/ontology#district_08315	Breisgau-Hochschwarzwald	http://www.wikidata.org/entity/Q8195
8316	http://world.squirrel.link/ontology#district_08316	Emmendingen	http://www.wikidata.org/entity/Q8193
8317	http://world.squirrel.link/ontology#district_08317	Ortenaukreis	http://www.wikidata.org/entity/Q8191
8325	http://world.squirrel.link/ontology#district_08325	Rottweil	http://www.wikidata.org/entity/Q8211
8326	http://world.squirrel.link/ontology#district_08326	Schwarzwald-Baar-Kreis	http://www.wikidata.org/entity/Q8203
8327	http://world.squirrel.link/ontology#district_08327	Tuttlingen	http://www.wikidata.org/entity/Q8208
8335	http://world.squirrel.link/ontology#district_08335	Konstanz	http://www.wikidata.org/entity/Q8206
8336	http://world.squirrel.link/ontology#district_08336	Lörrach	http://www.wikidata.org/entity/Q8198
8337	http://world.squirrel.link/ontology#district_08337	Waldshut	http://www.wikidata.org/entity/Q8200
8415	http://world.squirrel.link/ontology#district_08415	Reutlingen	http://www.wikidata.org/entity/Q8217
8416	http://world.squirrel.link/ontology#district_08416	Tübingen	http://www.wikidata.org/entity/Q8214
8417	http://world.squirrel.link/ontology#district_08417	Zollernalbkreis	http://www.wikidata.org/entity/Q8233
8421	http://world.squirrel.link/ontology#district_08421	Ulm	http://www.wikidata.org/entity/Q3012
8425	http://world.squirrel.link/ontology#district_08425	Alb-Donau-Kreis	http://www.wikidata.org/entity/Q8221
8426	http://world.squirrel.link/ontology#district_08426	Biberach	http://www.wikidata.org/entity/Q8223
8435	http://world.squirrel.link/ontology#district_08435	Bodenseekreis	http://www.wikidata.org/entity/Q8228
8436	http://world.squirrel.link/ontology#district_08436	Ravensburg	http://www.wikidata.org/entity/Q8225
8437	http://world.squirrel.link/ontology#district_08437	Sigmaringen	http://www.wikidata.org/entity/Q8230
9161	http://world.squirrel.link/ontology#district_09161	Ingolstadt	http://www.wikidata.org/entity/Q3004
9162	http://world.squirrel.link/ontology#district_09162	München	http://www.wikidata.org/entity/Q1726
9163	http://world.squirrel.link/ontology#district_09163	Rosenheim	http://www.wikidata.org/entity/Q4007
9171	http://world.squirrel.link/ontology#district_09171	Altötting	http://www.wikidata.org/entity/Q10533
9172	http://world.squirrel.link/ontology#district_09172	Berchtesgadener Land	http://www.wikidata.org/entity/Q10530
9173	http://world.squirrel.link/ontology#district_09173	Bad Tölz-Wolfratshausen	http://www.wikidata.org/entity/Q10522
9174	http://world.squirrel.link/ontology#district_09174	Dachau	http://www.wikidata.org/entity/Q10500
9175	http://world.squirrel.link/ontology#district_09175	Ebersberg	http://www.wikidata.org/entity/Q10541
9176	http://world.squirrel.link/ontology#district_09176	Eichstätt	http://www.wikidata.org/entity/Q10491
9177	http://world.squirrel.link/ontology#district_09177	Erding	http://www.wikidata.org/entity/Q10539
9178	http://world.squirrel.link/ontology#district_09178	Freising	http://www.wikidata.org/entity/Q10497
9179	http://world.squirrel.link/ontology#district_09179	Fürstenfeldbruck	http://www.wikidata.org/entity/Q10502
9180	http://world.squirrel.link/ontology#district_09180	Garmisch-Partenkirchen	http://www.wikidata.org/entity/Q10518
9181	http://world.squirrel.link/ontology#district_09181	Landsberg am Lech	http://www.wikidata.org/entity/Q10507
9182	http://world.squirrel.link/ontology#district_09182	Miesbach	http://www.wikidata.org/entity/Q10523
9183	http://world.squirrel.link/ontology#district_09183	Mühldorf a. Inn	http://www.wikidata.org/entity/Q10537
9184	http://world.squirrel.link/ontology#district_09184	München	http://www.wikidata.org/entity/Q10544
9185	http://world.squirrel.link/ontology#district_09185	Neuburg-Schrobenhausen	http://www.wikidata.org/entity/Q10493
9186	http://world.squirrel.link/ontology#district_09186	Pfaffenhofen a.d. Ilm	http://www.wikidata.org/entity/Q10496
9187	http://world.squirrel.link/ontology#district_09187	Rosenheim	http://www.wikidata.org/entity/Q10526
9188	http://world.squirrel.link/ontology#district_09188	Starnberg	http://www.wikidata.org/entity/Q10504
9189	http://world.squirrel.link/ontology#district_09189	Traunstein	http://www.wikidata.org/entity/Q10528
